temp,pH,pop,indiv,MO2_raw,dryweight,MO2_wcorr
13,80,FRA,1,0.2988,0.0037,80.757
13,80,FRA,3,0.1304,0.0024,54.333
13,80,FRA,4,0.1304,0.0039,33.436
13,80,FRA,5,0.1265,0.0032,39.531
13,80,FRA,6,0.1843,0.0026,70.885
13,80,FRA,7,0.2206,0.0036,61.278
13,80,FRA,8,0.1914,0.0027,70.889
19,80,FRA,1,0.1966,0.0034,57.824
19,80,FRA,2,0.2254,0.0027,83.481
19,80,FRA,3,0.144,0.0027,53.333
19,80,FRA,4,0.1609,0.0026,61.885
19,80,FRA,5,0.1606,0.0039,41.179
19,80,FRA,9,0.1794,0.0028,64.071
13,77,FRA,1,0.4404,0.0043,102.419
13,77,FRA,3,0.4482,0.0038,117.947
13,77,FRA,4,0.5161,0.0045,114.689
13,77,FRA,5,0.4877,0.0025,195.080
13,77,FRA,7,0.3463,0.0026,133.192
13,77,FRA,8,0.4616,0.0035,131.886
19,77,FRA,1,0.3799,0.0039,97.410
19,77,FRA,2,0.3281,0.0041,80.024
19,77,FRA,3,0.3001,0.0027,111.148
19,77,FRA,5,0.3466,0.0033,105.030
19,77,FRA,6,0.3039,0.0025,121.560
19,77,FRA,7,0.4635,0.0034,136.324
19,77,FRA,8,0.476,0.0033,144.242
19,77,FRA,9,0.4667,0.0039,119.667
13,80,NOR,1,0.4408,0.0036,122.444
13,80,NOR,4,0.3478,0.0037,94.000
13,80,NOR,5,0.4941,0.0033,149.727
13,80,NOR,6,0.4105,0.0035,117.286
13,80,NOR,7,0.3684,0.0061,60.393
13,80,NOR,8,0.3684,0.0033,111.636
13,80,NOR,9,0.3222,0.0025,128.880
19,80,NOR,1,0.1158,0.0030,38.600
19,80,NOR,3,0.2506,0.0022,113.909
19,80,NOR,5,0.1845,0.0036,51.250
19,80,NOR,6,0.2021,0.0034,59.441
19,80,NOR,7,0.0638,0.0020,31.900
19,80,NOR,9,0.3577,0.0034,105.206
13,77,NOR,2,0.3303,0.0036,91.750
13,77,NOR,3,0.1568,0.0029,54.069
13,77,NOR,4,0.2053,0.0041,50.073
13,77,NOR,5,0.7204,0.0053,135.925
13,77,NOR,6,0.1478,0.0033,44.788
13,77,NOR,7,0.105,0.0036,29.167
13,77,NOR,8,0.2071,0.0038,54.500
13,77,NOR,9,0.1397,0.0029,48.172
19,77,NOR,2,0.2691,0.0030,89.700
19,77,NOR,3,0.2134,0.0041,52.049
19,77,NOR,5,0.4211,0.0038,110.816
19,77,NOR,7,0.2842,0.0035,81.200
19,77,NOR,8,0.1599,0.0045,35.533
19,77,NOR,9,0.1858,0.0038,48.895
