tank,tray,Popn,temp,ph,condition,treatment,id,height_t0_mm,height_t37_mm,shell_total_mg,body_dry_mg,cond_ratio
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_1,6.79,9.89,39.1,1.4,0.0358
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_2,7.643,10.604,48.1,1.8,0.0374
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_3,7.187,9.469,32.2,1.3,0.0404
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_4,5.768,8.572,24.6,0.9,0.0366
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_5,3.874,6.951,10.4,0.4,0.0385
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_6,5.924,8.28,19.7,0.8,0.0406
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_7,5.424,8.112,19.4,0.7,0.0361
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_8,6.155,6.722,11.5,0.3,0.0261
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_9,5.21,8.018,18.4,0.7,0.0380
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_10,6.412,9.045,30.7,1.2,0.0391
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_11,5.264,8.733,24.4,0.9,0.0369
R1,Fr01,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr01_12,6.442,9.297,30.8,1.2,0.0390
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_1,7.156,10.44,47.6,1.9,0.0399
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_2,8.154,10.164,40,2.1,0.0525
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_3,5.766,9.172,31.1,1.4,0.0450
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_4,6.686,9.765,41.8,1.8,0.0431
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_5,6.088,9.113,17.3,0.7,0.0405
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_6,6.602,8.895,24.7,1.1,0.0445
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_7,6.4,8.468,21.9,1.1,0.0502
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_8,5.636,9.02,25.7,1.2,0.0467
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_9,5.077,9.224,25.7,1.1,0.0428
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_10,6.25,8.952,27.2,0.9,0.0331
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_11,6.899,9.035,31,1.4,0.0452
R1,Fr02,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr02_12,5.602,9.381,30.8,1.4,0.0455
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_1,5.887,8.723,24.5,1.2,0.0490
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_2,5.836,10.103,48.5,2.3,0.0474
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_3,6.08,9.943,32.7,1.6,0.0489
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_4,6.129,10.137,43.5,1.8,0.0414
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_5,4.846,9.263,34.1,1.3,0.0381
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_6,4.994,9.628,34.2,1.3,0.0380
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_7,5.187,8.766,25,1,0.0400
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_8,5.75,9.408,34.6,1.5,0.0434
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_9,4.731,7.656,16.1,0.7,0.0435
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_10,5.696,9.639,36.2,1.7,0.0470
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_11,6.069,8.673,25.8,1.1,0.0426
R1,Fr03,FRA,13,ctrl,13_ctrl,FRA_13_ctrl,Fr03_12,6.641,8.993,26.9,0.9,0.0335
